112576,R2 L2 F2 B2
128201,R B' D' L2 F2 B'
143826,R' L2 F2 B2
159451,F D L2 F B2
175076,L2 F2 B2 R
190701,F' D F' L2 B2
206326,L2 F2 R' B2
221951,B D' F2 B L2
237576,R L2 F2 B2
253201,B' D' L2 F2 B'
268826,D L2 F2 B2
284451,L2 F' R' F' B2
300076,D2 L2 F2 B2
315701,L B D' B L F2
331326,D' L2 F2 B2
346951,L2 F2 B R B
362576,L2 F2 B2
378201,R F D L2 F B2
113201,R L2 F2 U R B'
128826,R B' U' R2 F2 L D'
144451,R2 L2 F2 U R B'
160076,F2 L2 D B L' D'
175701,L2 F2 U B2 R B'
191326,L2 D B L' D' F2
206951,L2 F2 R2 U R B'
222576,B L' D' L' F2
238201,L2 F2 U R B'
253826,B' U' R2 F2 L D'
269451,B' R D L2 F2
285076,L2 F2 U R U B' R
300701,L' F2 R' U' L' B
316326,L B L' D' L2 F2
331951,L' U' R2 D' L' B
347576,L2 F2 U B R B'
363201,L' F2 U' L' B
378826,B' R F D L2 F
82576,R B2 L' D' L' F2
98201,R2 B D L2 F2 R'
145076,R2 D R L2 F2
160701,R2 U B2 L2 F' D
176326,R2 D F2 R' L2
191951,R2 F' D F' L2
207576,R2 D L2 F2 R'
223201,R2 U L2 F' B2 D
238826,R2 D R' L2 F2
254451,R2 F D L2 F
270076,R2 D L2 F2
285701,R2 F' D R' F' L2
301326,D R2 D L2 F2
316951,R2 L' F' D F' L'
332576,U' R2 F2 D' B2
348201,R2 B D R L2 F2
363826,L2 F2 U' B2
379451,R L2 F2 D' R F' D
83201,R L2 F2 U B' R2
98826,R L2 F2 B' R
145701,R' F2 L2 B
161326,R L2 F2 U' B' R
176951,R F2 L2 B' R'
192576,R L2 F2 B' U R2
208201,R L2 F2 B' R'
223826,R F2 B' L2 U R2
239451,R L2 F2 B'
255076,R D B' L2 F2 R'
270701,R D L2 F2 B'
286326,R L2 F2 U2 B' R
301951,R D2 L2 F2 B'
317576,R L2 F2 U B' R
333201,R D' L2 F2 B'
348826,R B' L2 F2 R'
364451,R L2 B' R' F2
380076,R F D L2 F B'
83826,R2 B2 L' D' L' F2
99451,R' B D L2 F2 R'
115076,R' D R' L2 F2
130701,R' F D L2 F
177576,R' D F2 R' L2
193201,R' F' D F' L2
208826,R' D L2 F2 R'
224451,R' U L2 F' B2 D
240076,R L2 F2 U' B2
255701,L2 F2 D L B' D'
271326,R' D L2 F2
286951,R' F' D R' F' L2
302576,D R' D L2 F2
318201,R' L' F' D F' L'
333826,U' F2 R2 L D'
349451,R' B D R L2 F2
365076,R' D R L2 F2
380701,R' U B2 L2 F' D
84451,F2 L2 U R2 B
100076,R2 L2 F2 B' R
115701,R2 L2 F2 B'
131326,R2 D B' L2 F2 R'
178201,F2 R' L2 B
193826,F' D F' L2 B
209451,R2 L2 F2 B' R'
225076,B D' F2 L2 B
240701,F2 R L2 B
256326,F2 L2 B U R2
271951,D F2 L2 B
287576,D2 F2 L2 B R
303201,D2 F2 L2 B
318826,D' F2 L2 B R
334451,D' F2 L2 B
350076,F2 L2 B R
365701,F2 L2 B
381326,D F2 L2 B R
85076,L B2 D' L F2
100701,L B' D' R L F2
116326,L D' R2 L F2
131951,R L B' D' L F2
147576,L D' R' L F2
163201,R2 L B' D' L F2
210076,L D' L F2 R'
225701,B L D' L F2
241326,L D' R L F2
256951,L B' D' L F2
272576,U L2 B2 R D
288201,D' L B D' L F2
303826,D' L D' L F2
319451,L B D' L F2
335076,L D' L F2
350701,L B D' R L F2
366326,L2 D L' D' F2
381951,R' L B' D' L F2
85701,L2 F2 U R2 B
101326,L2 F2 B' R B2
116951,R2 L2 F2 B
132576,R L2 F2 B U R2
148201,R' L2 F2 B
163826,R2 L2 F2 B U R2
210701,L2 F2 R' B
226326,B D' L2 F2 B
241951,R L2 F2 B
257576,L2 F2 B U R2
273201,D L2 F2 B
288826,L2 F' R' F' B
304451,D2 L2 F2 B
320076,D' L2 F2 B R
335701,D' L2 F2 B
351326,L2 F2 B R
366951,L2 F2 B
382576,D L2 F2 B R
86326,L F2 U R2 B2 L'
101951,L2 F2 B' R U' B2
117576,L' D' R2 L' F2
133201,L2 F2 D' R' F D
148826,L' D' R' L' F2
164451,L2 F2 D' R' F' D
180076,L D' L2 D' L' F2
195701,L2 D B L D' F2
242576,L2 F2 R U' B2
258201,L B' L2 D' L' F2
273826,L' D' L' F2 R'
289451,L' F' D' R' F' L'
305076,L' D' F2 R' L'
320701,L B L2 D' L' F2
336326,L' D' L' F2
351951,L2 D L B D' F2
367576,L2 D L D' F2
383201,L' D' L' F' R' F'
86951,L2 F2 U R2 B'
102576,B L2 F2 R'
118201,R2 F2 B L2
133826,R F2 B L2 U R2
149451,R' F2 B L2
165076,F D F B L2
180701,F2 R' B L2
196326,F' D F' B L2
243201,R F2 B L2
258826,F2 B L2 U R2
274451,D F2 B L2
290076,D2 F2 B R L2
305701,D2 F2 B L2
321326,D' F2 B R L2
336951,D' F2 B L2
352576,F2 B R L2
368201,F2 B L2
383826,D F2 B R L2
87576,B2 L' D' L' F2
103201,R B D L2 F2 R'
118826,R D R L2 F2
134451,R U B2 L2 F' D
150076,R D R2 L2 F2
165701,L2 F2 D' R F' D
181326,R D F2 R' L2
196951,R F' D F' L2
212576,R D L2 F2 R'
228201,R U L2 F' B2 D
275076,R D L2 F2
290701,R F' D R' F' L2
306326,D R D L2 F2
321951,R L' F' D F' L'
337576,U' R2 F2 L D'
353201,R B D R L2 F2
368826,R D R' L2 F2
384451,R F D L2 F
88201,L2 F2 U B' R2
103826,L2 F2 B' R
119451,R2 F2 L2 B
135076,L2 F2 U' B' R
150701,L2 B' R' F2
166326,F D L2 F B'
181951,F2 L2 B' R'
197576,L2 F2 B' U R2
213201,L2 F2 B' R'
228826,F2 B' L2 U R2
275701,D L2 F2 B'
291326,L2 F2 U2 B' R
306951,D2 L2 F2 B'
322576,L2 F2 U B' R
338201,D' L2 F2 B'
353826,B' L2 F2 R'
369451,L2 F2 B'
385076,D B' L2 F2 R'
88826,D2 L2 F2 U R2
104451,B L' D2 L' F2
120076,D2 R2 L2 F2
135701,R D' B' D' L2 F2
151326,D2 R' L2 F2
166951,D F D L2 F
182576,L D2 L F2
198201,D F' D F' L2
213826,L' D2 L' F2
229451,D' B D' L2 F2
245076,D2 R L2 F2
260701,D' B' D' L2 F2
307576,D2 L2 F2
323201,L D' B D' L F2
338826,D2 L2 F2 U' R2
354451,D2 L2 F' R' F'
370076,L2 F2 U2 B2
385701,R D F D L2 F
89451,L B2 D' L F2 B
105076,L2 F2 B' U' R B'
120701,R L2 F2 U' R B'
136326,L2 F2 U' R B' R
151951,D R' L2 F2 B'
167576,U F L2 B2 R D
183201,D F2 R' L2 B'
198826,F' R' D F' L2
214451,D L2 F2 R' B'
230076,L2 F2 D' F R' D
245701,L2 F2 U' R B'
261326,L B' D' L F2 B
308201,L' D F2 R' L' B'
323826,L B D' L F2 B
339451,L D' L F2 B
355076,L2 F2 U' B R B'
370701,L' F2 U L' B
386326,D R F2 L2 B R
90076,B2 D' L2 F2
105701,B D' L2 F2 R'
121326,D' R2 L2 F2
136951,R B' D' L2 F2
152576,D' R' L2 F2
168201,R2 B' D' L2 F2
183826,D' F2 R' L2
199451,U' F2 R2 B' D'
215076,D' L2 F2 R'
230701,B D' L2 F2
246326,D' R L2 F2
261951,B' D' L2 F2
277576,D L2 F2 U2 B2
293201,F' D' R' F' L2
340076,D' L2 F2
355701,B D' R L2 F2
371326,L2 F2 U B2
386951,R' B' D' L2 F2
90701,L B2 D' L F2 B'
106326,L B L F2 U2 R2
121951,R2 L B L F2
137576,R L B L F2 U R2
153201,R' L B L F2
168826,F L D B L F
184451,L D2 B L F2
200076,L D' B R L F2
215701,L B L F2 R'
231326,B L D' B L F2
246951,R L B L F2
262576,L B L F2 U R2
278201,L D B L F2
293826,L D2 B R L F2
340701,L D' B L F2
356326,L B R L F2
371951,L B L F2
387576,L D B R L F2
91326,L2 F2 U R2
106951,L2 F U2 F R'
122576,R2 L2 F2
138201,L2 F U F R'
153826,R' L2 F2
169451,L2 D' F D F
185076,F2 R' L2
200701,L2 D B D' F2
216326,L2 F2 R'
231951,L2 D' F' D F'
247576,R L2 F2
263201,L2 D B' D' F2
278826,L2 F2 U' R2
294451,L2 F' R' F'
310076,L2 F2 U2 R2
325701,L2 F U' F R'
372576,L2 F2
388201,R L2 D' F D F
91951,L D L F2 U R2 B
107576,D' R' L2 F2 B' R
123201,R D' R F2 L2 B
138826,R B' L' D' L' F2
154451,D' R' L2 F2 B'
170076,R2 B' L' D' L' F2
185701,D' F2 R' L2 B'
201326,U' F2 R2 B' L' D'
216951,D' L2 F2 R' B'
232576,U' B R2 F2 L D'
248201,D' R F2 L2 B
263826,B' L' D' L' F2
279451,L D L F2 B
295076,F' D' R' F' L2 B'
310701,L' D' F2 R' L' B'
326326,D' R F2 L2 B R
373201,R D' R' L2 F2 B'
388826,R' B' L' D' L' F2
92576,U L2 B2 D R2
108201,B D L2 F2 R'
123826,D R2 L2 F2
139451,U L2 F B2 D R'
155076,D R' L2 F2
170701,F D L2 F
186326,D F2 R' L2
201951,F' D F' L2
217576,D L2 F2 R'
233201,U L2 F' B2 D
248826,D R L2 F2
264451,U B2 L2 F' D
280076,D L2 F2
295701,F' D R' F' L2
311326,L' D F2 R' L'
326951,L' F' D F' L'
342576,L' D L' F2 R'
358201,B D R L2 F2
93201,R F2 L2 U R2 B
108826,R' L2 F2 B' R
124451,R F2 R L2 B
140076,R F2 L2 B U R2
155701,R' L2 F2 B'
171326,R' D B' L2 F2 R'
186951,F2 R' L2 B'
202576,R F' D F' L2 B
218201,L2 F2 R' B'
233826,R B D' F2 L2 B
249451,R F2 L2 B
265076,R D F2 L2 B R
280701,R D F2 L2 B
296326,L2 F' R' F' B'
311951,R D2 F2 L2 B
327576,R D' F2 L2 B R
343201,R D' F2 L2 B
358826,R F2 L2 B R
112601,R2 F2 B U B L'
128226,R L F' B' D' F' B'
143851,R' F2 B U B L'
159476,L2 F D F L B2
175101,L D' F' D' F' B2
190726,F' D B2 U' F' L
206351,L' D B D F2 B
221976,B D' F2 U B L'
237601,R F2 B U B L'
253226,L F' B' D' F' B'
268851,L' B D F2 B
284476,L F' D' R' F' B2
300101,L F' D' F' B2 R
315726,L F' B D' F' B
331351,L F' D' F' B2
346976,L' B D R F2 B
362601,F2 B U B L'
378226,L F' D' F' R' B2
113226,R F2 U R B L' B2
128851,R L F' B' D2 R D F'
144476,R2 F2 U R B L' B2
160101,L2 F B2 D F L B
175726,L U2 B2 D' F' L D'
191351,L2 B L' F' D' F'
206976,F2 U B2 R B' L'
222601,B L' D2 B D F2
238226,F2 U R B L' B2
253851,L F' B' D2 R D F'
269476,L' B D2 L' D' F2
285101,L F' B2 D' R' F' B'
300726,L' F2 B' R' U' L2 B2
316351,L F B L' F2 D' F'
331976,L U2 F' L U R2 D'
347601,F2 U B R L' B'
363226,F2 U B U2 L' B
378851,L F' B2 D' F' R' B'
82601,R L2 B2 L' F' D' F'
98226,R2 L' B L2 D F2 R'
145101,R' F2 D L F' D'
160726,F' U' R2 F' L B2
176351,F' U' F' R' L B2
191976,R2 F' U' D F' L
207601,L' D R2 B D F2
223226,R2 L2 F' D F L F2
238851,R2 L' B D R' F2
254476,R2 L2 F D F L
270101,R2 L' B D F2
285726,F' U' R' F' L B2
301351,R2 L' B D F2 R'
316976,R2 L' F' B D F'
332601,R' F2 L F' D' F
348226,R2 L' B D R F2
363851,F' U' F' L B2
379476,R' F2 L F' B' D' F
83226,R L F' B2 D' F' B
98851,R L F' D' F' B' R
145726,R' F2 U L2 B L'
161351,R F' U' F' L B' R
176976,R L D' F' D' F' B'
192601,R F' U' D F' L B'
208226,R L2 D' F2 B' R' L'
223851,R B L F' D' F' B2
239476,R L' F2 B' U' L2
255101,R L F' D' F' B' R'
270726,R L' B D F2 B2
286351,R L F' D' B' R' F'
301976,R L' F2 B' R' U' L2
317601,R L F' B D' F' B2
333226,R L F' D' F' B'
348851,L' B D R F2 B'
364476,F2 U B U L' B
380101,R L2 F D F L B'
83851,F2 L F' B2 D' F
99476,R' L' B L2 D F2 R'
115101,R' L' B D R' F2
130726,R' L2 F D F L
177601,F2 R' D L F' D'
193226,R' F' U' D F' L
208851,L' D R' B D F2
224476,F2 D B L F' D'
240101,R F' U' F' L B2
255726,F2 L F' B' D' F
271351,R' L' B D F2
286976,R F' U' R' F' L B2
302601,R' L' B D F2 R'
318226,R' L' F' B D F'
333851,F2 L F' D' F
349476,R' L' B D R F2
365101,F2 D L F' D'
380726,R F' U' R2 F' L B2
84476,F2 U R2 L2 B L'
100101,R2 L F' D' F' B' R
115726,R2 L' F2 B' U' L2
131351,R2 L F' D' F' B' R'
178226,L F U D2 L2 F
193851,F' U' R2 D F' L
209476,L' F D B D F
225101,R2 B L F' D' F' B2
240726,F2 R U L2 B L'
256351,R2 L2 F D F L B'
271976,R2 L' B D F2 B2
287601,F L D2 F U L2
303226,U2 B2 U F R' D2
318851,R2 L F' B D' F' B2
334476,R2 L F' D' F' B'
350101,F2 U L2 B R L'
365726,F2 U L2 B L'
381351,R2 F' U' F' L B' R
85101,L F' B2 D' F'
100726,L F' B' D' R F'
116351,L F' D' R2 F'
131976,R L F' B' D' F'
147601,R L F' D' R2 F'
163226,R2 L F' B' D' F'
210101,L F' U B2 D' F'
225726,B L F' D' F'
241351,L F' D' R F'
256976,L F' B' D' F'
272601,D2 L F' D' F'
288226,L F' D' R' F'
303851,D' L F' D' F'
319476,L F' B D' F'
335101,L F' D' F'
350726,L F' B D' R F'
366351,D L F' D' F'
381976,L F' D' F' R'
85726,L2 B2 D' F2 B' L'
101351,L2 D' F2 B' R L' B2
116976,L2 D' B R2 F2 L
132601,R2 U L2 D B R L'
148226,U L2 D R' B L'
