17632,R2 L2 U2 F2 B2 D'
17633,R' U' L2 F R2 B'
17634,R' L2 U2 F2 B2 D'
17635,U' L2 F R2 B'
17636,L F2 R' B2 D
17637,U' R2 F' L2 B
17638,L' F2 B2 R D
17639,L2 U2 F2 B2 D' F
17640,R L2 U2 F2 B2 D'
17641,R2 U' L2 F R2 B'
17642,U B2 U2 R2 L2
17643,L F L F R' B2 D
17644,F2 B2 U D B2
17645,L' B2 R F2 D F
17646,U R2 L2 D2 B2
17647,L F2 R' B' L' B' D
17648,L2 U2 F2 B2 D'
17649,R U' L2 F R2 B'
17657,R2 F' L2 B D' L'
17658,R B' R U L2 D2 B2
17659,R' F' L2 B D' L'
17660,F2 U2 R2 D F' L
17661,L F2 R' B D L'
17662,F' D L2 B D' L'
17663,L U' L F' D' R2 F'
17664,L2 U2 B2 D' F' L
17665,R F' L2 B D' L'
17666,B' R U L2 D2 B2
17667,B U L' B2 R
17668,F' R' L2 B D' L'
17669,D B U L' B2 R
17670,B U L' F' B2 R
17671,D2 B U L' B2 R
17672,F' L2 B R D' L'
17673,F' L2 B D' L'
17674,B U L' B2 R F
17680,R2 B2 U L2 D2 B2
17681,R U R L2 B' D2 B'
17684,R' L2 D2 F2 D L
17685,R2 U L2 B' D2 B'
17686,R2 D L F2 R' D
17687,R2 U L2 B D2 B
17688,L' U' B2 R D R
17689,R2 U L2 D2 F' B2
17690,R L2 U2 B2 D' L'
17691,R2 U L2 D2 F B2
17692,R U L' B2 R L'
17693,R L2 U2 B2 D' L' F'
17694,F2 U2 R2 D L2
17695,R U L' F' B2 R L'
17696,R2 U L2 D2 B2
17697,R F2 U D B2 L' F'
17698,L2 U2 B2 D' L2
17699,R L2 U2 B2 D' L' F
17705,R U2 B' R2 F D F
17706,R F2 B L' B2 R D
17709,R' L2 U2 F B2 D'
17710,U F' L F2 R' B2
17711,R L F2 B' R' D
17712,U F' L' B2 R L2
17713,L' F2 B2 R B' D
17714,U L2 D2 F' L B2
17715,R L2 D2 F2 B' D
17716,U' F2 B' R D2 R
17717,U B U2 R2 B L'
17718,F' R' L2 F B D'
17719,R U2 B' R2 F D
17720,U L' F' B2 R L
17721,U L2 F R' D2 B2
17722,R L F2 B' R' L' D
17723,L U2 L F' B2 D'
17724,R L F2 B' R' D F'
17730,R' B2 U L2 D2 B2
17731,U R' L2 D2 F B2
17732,R2 L2 U2 B2 D' L'
17733,R' U L2 D2 F B2
17736,L F2 R' D L
17737,R' U L2 B D2 B
17738,L F2 R' L2 D L'
17739,R' U L2 D2 F' B2
17740,R L2 U2 B2 D' L2
17741,U' R2 U2 F B2 L'
17742,U' R2 U2 B2 L'
17743,F2 U D L F' B2
17744,F2 U D L B2
17745,L2 D2 F2 D L F'
17746,R' U L2 D2 B2
17747,F2 D2 L2 D' L' F'
17748,L2 D2 F2 D L
17749,R' U L2 B' D2 B'
17755,L2 U2 F B2 D' F
17756,L2 U2 F R' B2 D'
17757,L2 F R2 B' D'
17758,R U' F2 B' R D2 R
17761,R2 L F2 B' R' D
17762,U' F D' R2 F2 B'
17763,L F2 R' L2 B D
17764,L2 U2 F B2 D' F2
17765,L2 U2 F R B2 D'
17766,L2 U' F D' R2 F
17767,L2 U2 F B2 D' F'
17768,L2 F D2 L F D
17769,F2 D2 F' L2 D'
17770,L2 U' F R' D' R'
17771,L2 F D2 F D F'
17772,L2 F D2 F L D
17773,L2 U2 F B2 D'
17774,R U F' L F2 R' B2
17780,U L B2 U F2 R'
17781,U L F2 R' F B2
17782,U L F2 R' B2
17783,R' U' L F R2 B'
17784,R U L F2 R' B2
17785,U' L F R2 B'
17788,L D' F2 R' L2 D
17789,L2 U' D' R2 F' L'
17790,R L2 U' D' R2 L'
17791,R2 U' L F R2 B'
17792,L D' F2 R' D
17793,L2 U' D' R2 L' F'
17794,L D' F2 R' L' D
17795,U L' F' B2 R L2
17796,U L2 D2 L' B2
17797,L D' R F2 R' D F'
17798,L2 U' D' R2 L'
17799,R U' L F R2 B'
17805,F2 U2 R2 B' D F2
17806,L2 D2 F2 B L' D
17807,R2 F' L2 B D'
17808,R' F' L2 B D' F2
17809,R' F' L2 B D'
17810,F' L2 B D' F2
17813,L2 D2 B L F2 D
17814,F' L2 B D' F'
17815,R F' L2 B D'
17816,R2 F' L2 B D' F2
17817,D F' L2 B D'
17818,F' R' L2 B D'
17819,D2 F' L2 B D'
17820,D F' R' L2 B D'
17821,D' F' L2 B D'
17822,F' L2 B R D'
17823,F' L2 B D'
17824,R F' L2 B D' F2
17830,L2 U2 B2 D' L F2
17831,L2 U' D' R2 L F'
17832,U L' F2 B2 R
17833,R2 U L' B2 R F
17834,R U L' F2 B2 R
17835,U L' F B2 R
17836,L F2 R' D L2
17837,U F' L' B2 R
17840,R L2 U2 B2 D' L
17841,R U L' B2 R F
17842,U L' B2 R
17843,U D L' B2 R F
17844,U D L' B2 R
17845,U L' F' B2 R
17846,U L2 D2 L B2
17847,U D L' F' B2 R
17848,L2 U2 B2 D' L
17849,U L' B2 R F
17855,L2 U2 F' B2 D' F'
17856,F2 B L' D2 L' D'
17857,R2 L2 U2 F' B2 D'
17858,B L F2 R' D F
17859,R' L2 U2 F' B2 D'
17860,L2 U2 F' B2 D' F2
17861,B L F2 R' D
17862,F2 U B D F B
17865,R L2 U2 F' B2 D'
17866,L2 U' F' D' R2 F
17867,L2 U2 F' B2 D' F
17868,L2 U2 F' R' B2 D'
17869,F2 U B D B
17870,L2 U2 R' F' B2 D' F2
17871,L2 F' D2 F' D F
17872,F2 D2 L2 F' R' D'
17873,L2 U2 F' B2 D'
17874,R L2 U2 F' B2 D' F2
17880,R B2 U L2 D2 B2
17881,U R L2 B' D2 B'
17882,R2 L2 D2 F2 D L
17883,R U L2 B' D2 B'
17884,R U L2 D2 F2 B2
17885,L2 U2 B2 D' L' F
17886,R D L F2 R' D
17887,R U L2 B D2 B
17888,L' F2 B2 R D L'
17889,R U L2 D2 F' B2
17892,U L' B2 R L'
17893,L2 U2 B2 D' L' F'
17894,F2 U D B2 L'
17895,U L' F' B2 R L'
17896,R U L2 D2 B2
17897,F2 U D B2 L' F'
17898,L2 U2 B2 D' L'
17899,R U L2 D2 F B2
17905,U2 B' R2 F D F
17906,F2 B L' B2 R D
17907,R2 L2 U2 F B2 D'
17908,L F2 B' R' D F
17909,L F2 L B' R' D
17910,L F2 B' R' D F'
17911,L F2 B' R' D
17912,U2 B' R2 F D F2
17913,L F2 L2 B' R' D
17914,L2 D2 F2 B' D F
17917,L D' F2 B' R' D
17918,L2 D2 F2 B' L' D
17919,U2 B' R2 F D
17920,R2 L2 U' F R' D' R'
17921,L D F2 B' R' D
17922,L F2 B' R' L' D
17923,L2 D2 F2 B' D
17924,R L F2 R' B' D F'
17930,L2 U2 B2 D' F2
17931,L U' L D' R2 F'
17932,R2 L2 U2 B2 D'
17933,R L2 U' D' R2 F
17934,R' L2 U2 B2 D'
17935,L2 U2 B2 D' F
17936,L2 U2 B2 R D'
17937,L2 U D L2 D2 F'
17938,L2 D2 L F2 D
17939,L2 U2 B2 D' F'
17940,R L2 U2 B2 D'
17941,L2 U' D' R2 F
17944,L2 U2 R2 B2 D'
17945,L2 U2 R' B2 D' F
17946,L2 D2 F2 D F2
17947,L2 U2 B R B D'
17948,L2 U2 B2 D'
17949,R L2 U2 B2 D' F
17955,L B2 D F2 R' B' D
17956,U' F R2 L F' B'
17957,L2 F R2 B' D' L
17958,R' U' F R2 L B'
17959,R L2 F R2 B' D' L
17960,U' F R2 L B'
17961,D L F2 R' B' D
17962,U F L F2 R' B2
17963,F2 U L' B D B
17964,U B L2 F' R' D2
17965,R L2 U2 F B2 D' L
17966,R2 U' F R2 L B'
17969,U2 B' R2 F D L
17970,L F2 R' L2 D F' L
17971,L D F2 R' B' D
17972,L F2 R' D L' F' L
17973,L2 U2 F B2 D' L
17974,R U' F R2 L B'
17980,U B2 U F2 U R2
17981,U R' U2 F R2 B'
17982,U F2 B2 U2 R2
17983,R' U' F R2 B'
17984,R U F2 B2 U2 R2
17985,U' F R2 B'
17986,L F2 R' D L'
17987,U F' B2 U2 R2
17988,L F2 R' L2 D L
17989,U B2 U2 R2 F
17990,R L2 U' F2 D' R2
17991,R2 U' F R2 B'
17992,U B2 U2 R2
